match_name,id,team,name,position,xtPosition,playMins,result,points,teamGoals,teamGoalsConceded,goals,assists,goalsConceded,penaltyConceded,cornersTotal,aerialsWon,dribblesLost,shotsTotal,passesAccurate,tackleUnsuccesful,defensiveAerials,aerialsTotal,offensiveAerials,passesTotal,throwInsTotal,offsidesCaught,interceptions,ratings,touches,dispossessed,parriedSafe,claimsHigh,clearances,throwInAccuracy,collected,parriedDanger,possession,shotsOffTarget,dribblesAttempted,shotsOnPost,dribblesWon,cornersAccurate,tackleSuccess,throwInsAccurate,dribbleSuccess,errorsCount,aerialSuccess,shotsBlocked,tacklesTotal,tackleSuccessful,shotsOnTarget,dribbledPast,passesKey,foulsCommited,totalSaves,passSuccess,claimsTotal,adjustedRating,overallRating,parriedDangerRating,cccPassesRating,shotsAccuracyRating,errorsRating,goalsConcededRating,dribbleSuccessRating,aerialSuccessRating,collectedRating,totalSavesRating,dribbledPastRating,goalsRating,defenseThreeRatting,passesAccuracyRating,defenseThree,totalErrors,cccPasses,totalCollected,totalParried,shotsAccuracy,passesAccuracy
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,27356,Angers,Ismael Traoré,DC,DC,90,-2,0.0,1.0,3.0,0,0,3,0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,0.0,0.0,0,0.0,0.0,200.0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2450.0,0,1.364600973066232,3.41150243266558,0.0,0.0,0.0,15.0,0.0,0.0,0.21584928395829112,0.0,0.0,10.0,0.0,4.759657841870238,4.139517200827273,3.0,0.0,0.0,0.0,0.0,0,0.782608695652174
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,69859,Angers,Yoann Andreu,DL,DL/DR,90,-2,0.0,1.0,3.0,0,0,3,0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,39.0,11.0,0.0,0.0,0,60.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0,0.0,0.0,200.0,7.0,0.0,0.0,0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,2116.67,0,0.9916114766032771,2.4790286915081925,0.0,5.0,0.0,9.0,0.0,1.148455916387796,0.043169856791658225,0.0,0.0,0.0,0.0,2.4729981929476024,7.125662948954868,3.0,0.0,1.0,0.0,0.0,0,0.7948717948717948
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,236558,Angers,Baptiste Santamaria,DMC,DM,90,-2,0.0,1.0,3.0,0,0,3,0,0.0,2.0,0.0,0.0,38.0,2.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,3.0,0,3.0,0.0,200.0,0.0,200.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,2.0,3.0,0.0,2683.34,0,1.710160410450924,4.27540102612731,0.0,10.0,0.0,15.0,0.0,0.0,9.978626330052272,0.0,0.0,2.0,0.0,3.1694934129057892,2.6058905183150336,2.0,0.0,2.0,0.0,0.0,0,0.76
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,296316,Angers,Angelo Fulgini,MR,FW,63,-2,0.0,1.0,3.0,0,0,1,0,0.0,0.0,1.0,1.0,18.0,0.0,1.0,3.0,2.0,28.0,1.0,0.0,3.0,0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,1.0,0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1433.33,0,0.924738451420614,2.311846128551535,0.0,8.571428571428571,1.1608313264010441,10.0,0.0,1.20323103682104,0.5804156632005221,0.0,0.0,5.0,0.0,4.999999999891395,6.602554687772775,4.0,0.0,1.0,0.0,0.0,0.0,0.6428571428571429
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,33223,Angers,Prince Oniangué,MC,CM/LCM/RCM,85,-2,0.0,1.0,3.0,0,0,3,0,0.0,2.0,0.0,3.0,27.0,0.0,2.0,6.0,4.0,34.0,0.0,0.0,0.0,0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1783.33,0,1.220203621788216,3.0505090544705395,0.0,5.294117647058823,0.0,10.0,0.0,0.22750129890124482,1.0684968527858731,0.0,0.0,5.0,0.0,2.377263423843437,6.537711322116017,0.0,0.0,1.0,0.0,0.0,0.0,0.7941176470588235
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,34212,Angers,Thomas Mangani,MC,CM/LCM/RCM,90,-2,0.0,1.0,3.0,0,0,3,0,4.0,0.0,0.0,2.0,50.0,2.0,0.0,2.0,2.0,62.0,0.0,0.0,3.0,0,91.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,71.0,2.0,1.0,0,1.0,1.0,350.0,0.0,100.0,1.0,0.0,0.0,7.0,5.0,0.0,2.0,1.0,3.0,0.0,3016.67,0,1.5080028290717065,3.770007072679266,0.0,5.0,0.0,-5.0,0.0,10.0,0.043169856791658225,0.0,0.0,-5.0,0.0,24.972032879546287,7.684867990454711,10.0,1.0,1.0,0.0,0.0,0.0,0.8064516129032258
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,128361,Angers,Pierrick Capelle,ML,FW,72,-2,0.0,1.0,3.0,0,0,3,0,0.0,0.0,0.0,1.0,24.0,1.0,1.0,5.0,4.0,27.0,0.0,0.0,1.0,0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0,1.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,1650.0,0,1.9641426933639867,4.910356733409967,0.0,0.0,19.98579614477346,10.0,0.0,5.0,0.5804156632005221,0.0,0.0,-1.25,0.0,4.9996168307312745,18.537738695394406,3.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,236504,Angers,Karl Toko Ekambi,FW,FW,90,-2,0.0,1.0,3.0,0,0,3,0,0.0,2.0,1.0,2.0,19.0,0.0,1.0,4.0,3.0,24.0,0.0,2.0,0.0,0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,4.0,0,3.0,0.0,100.0,0.0,300.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1450.0,0,1.4991386017692099,3.7478465044230242,0.0,6.0,1.1608313264010441,0.0,0.0,5.0,7.9089304813490555,0.0,0.0,0.0,0.0,2.216007487438264,15.192695749041876,1.0,0.0,1.0,0.0,0.0,0.0,0.7916666666666666
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,236557,Angers,Billy Ketkeophomphone,Sub,Sub,28,-2,0.0,1.0,3.0,0,0,2,0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,850.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,277239,Angers,Jeff Reine-Adelaide,Sub,Sub,19,-2,0.0,1.0,3.0,0,0,0,0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0,2.0,0.0,100.0,0.0,200.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,700.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.9444444444444444
