id,name,position,assistCount,keyPassCount,keyPassDistance,keyPassPositionDistance,matchCount,minutes,positionDistancePerKp,distancePerKp,kpPerMinutes,kpPerMatch
89794,Steven Berghuis,FWR,7.0,66.0,2186.2599369977997,2715.5162441726507,17.0,1593.0,41.14418551776743,33.12515056057272,0.04143126177024482,3.8823529411764706
115868,Hakim Ziyech,FWR,6.0,60.0,1926.5446552096457,2413.985132521843,14.0,1237.0,40.233085542030715,32.10907758682743,0.04850444624090541,4.285714285714286
14102,David Silva,MC,3.0,55.0,1310.6120049852236,1811.4748983322788,19.0,1633.0,32.93590724240507,23.82930918154952,0.03368034292712799,2.8947368421052633
29474,Dusan Tadic,FWL,5.0,54.0,1254.9727064057668,1824.7163993884014,18.0,1636.0,33.79104443311854,23.240235303810497,0.03300733496332518,3.0
28186,Daniel Parejo,MC,2.0,54.0,1949.1052979525214,2252.6317011006217,22.0,2114.0,41.715401872233734,36.09454255467632,0.02554399243140965,2.4545454545454546
30226,Miralem Pjanic,MC,2.0,53.0,1579.2212800656305,2101.2094435749796,21.0,1762.0,39.645461199527915,29.796627925766614,0.030079455164585697,2.5238095238095237
14058,Dimitri Payet,AMC,5.0,52.0,1886.4325626372056,2255.070234514394,10.0,914.0,43.36673527912296,36.277549281484724,0.05689277899343545,5.2
283323,Joshua Kimmich,DR,5.0,51.0,1834.892503513182,2173.1243115622965,17.0,1625.0,42.61028061886856,35.97828438261141,0.031384615384615386,3.0
80241,Antoine Griezmann,FW,6.0,48.0,1142.4421766309815,1780.9186066165757,23.0,2122.0,37.10247097117866,23.800878679812115,0.022620169651272386,2.0869565217391304
33724,Éver Banega,MC,3.0,48.0,1664.7849491799382,2207.9747760711352,19.0,1719.0,45.999474501481984,34.68301977458204,0.027923211169284468,2.526315789473684
33404,Eden Hazard,FWL,3.0,47.0,1277.2287891598467,1689.6668944837343,14.0,1316.0,35.95035945710073,27.175080620422268,0.03571428571428571,3.357142857142857
105591,Suso,FWR,6.0,44.0,1298.3110734508111,1684.3393890078655,12.0,1130.0,38.28044065926967,29.5070698511548,0.03893805309734513,3.6666666666666665
239872,Nicolas Pepe,AMR,7.0,44.0,893.8790282878542,1559.7265637901069,20.0,1914.0,35.4483309952297,20.315432461087596,0.022988505747126436,2.2
31772,Toni Kroos,MC,1.0,43.0,1716.5890663175323,1928.7192402156822,17.0,1602.0,44.853935818969354,39.92067596087284,0.026841448189762796,2.5294117647058822
11119,Lionel Messi,FWR,5.0,43.0,1164.5651209710077,1544.5756064192892,13.0,1174.0,35.92036293998347,27.082909790023436,0.036626916524701875,3.3076923076923075
70141,Ciro Immobile,FW,6.0,42.0,822.408479188777,1348.914196954508,20.0,1914.0,32.11700468939305,19.581154266399455,0.0219435736677116,2.1
69346,Gylfi Sigurdsson,AMC,2.0,42.0,1330.4639476962095,1792.5246209640543,18.0,1618.0,42.67915764200129,31.677713040385942,0.02595797280593325,2.3333333333333335
93160,Ryan Fraser,ML,6.0,42.0,1420.1447536817468,1611.5600982985052,15.0,1365.0,38.37047853091679,33.81297032575588,0.03076923076923077,2.8
303113,Abdenasser El Khayati,MC,4.0,41.0,1557.0264910005642,1814.9830438512447,15.0,1408.0,44.267879118323044,37.97625587806254,0.02911931818181818,2.7333333333333334
110154,Memphis Depay,FW,4.0,40.0,1269.6629744304098,1586.0110987110893,14.0,1225.0,39.65027746777723,31.741574360760247,0.0326530612244898,2.857142857142857
117776,Thiago Mendes,DMC,2.0,39.0,1478.4186917029374,1846.6801833914237,18.0,1643.0,47.35077393311343,37.9081715821266,0.023737066342057214,2.1666666666666665
318511,Hirving Lozano,FWR,6.0,37.0,1155.3395634183994,1407.6491196551995,11.0,992.0,38.04457080149188,31.225393605902685,0.037298387096774195,3.3636363636363638
29463,Willian,FWL,4.0,37.0,1187.9401844176373,1399.0589035584248,13.0,1020.0,37.81240279887635,32.10649147074695,0.03627450980392157,2.8461538461538463
44288,Jordi Alba,DL,7.0,37.0,902.1170414275259,1394.1688033647283,21.0,2003.0,37.68023792877644,24.381541660203403,0.018472291562656017,1.7619047619047619
115863,Mark Diemers,MC,0.0,37.0,1298.6622276424273,1589.971739186407,11.0,1046.0,42.972209167200184,35.09897912547101,0.03537284894837476,3.3636363636363638
89925,Lucas Digne,DL,2.0,37.0,1390.6977773820022,1609.8994589484562,16.0,1541.0,43.51079618779611,37.58642641572979,0.024010382868267358,2.3125
22221,Luis Suárez,FW,6.0,36.0,775.3554695954646,1172.741331948,20.0,1872.0,32.57614810966666,21.53765193320735,0.019230769230769232,1.8
115166,Kerem Demirbay,MC,3.0,36.0,1250.587252680763,1471.0354230403007,13.0,1178.0,40.8620950844528,34.73853479668786,0.030560271646859084,2.769230769230769
83459,Rodrigo Moreno,FW,4.0,36.0,570.3603602177807,1079.8624783544396,20.0,1852.0,29.99617995428999,15.843343339382796,0.019438444924406047,1.8
136461,Daniel Crowley,MC,5.0,36.0,922.1400967226036,1334.6780726347026,16.0,1444.0,37.07439090651952,25.61500268673899,0.024930747922437674,2.25
136741,Bernardo Silva,MC,6.0,36.0,702.547249690138,1205.6105247693797,17.0,1570.0,33.48918124359388,19.51520138028161,0.022929936305732482,2.1176470588235294
22546,Alejandro Gómez,AMC,5.0,36.0,1240.3937270682402,1538.3405579612004,10.0,910.0,42.7316821655889,34.45538130745112,0.03956043956043956,3.6
234377,Téji Savanier,MC,5.0,36.0,1433.599562754481,1718.2809422895896,13.0,1260.0,47.73002617471082,39.82221007651336,0.02857142857142857,2.769230769230769
