,aerialsTotal,aerialsWon,clearances,cornersAccurate,cornersTotal,defensiveAerials,dispossessed,dribbledPast,dribblesAttempted,dribblesLost,dribblesWon,errorsCount,foulsCommited,goals,goalsConceded,home,interceptions,name,offensiveAerials,offsidesCaught,passesAccurate,passesKey,passesTotal,possession,result,shotsBlocked,shotsOffTarget,shotsOnPost,shotsOnTarget,shotsTotal,tackleSuccessful,tackleUnsuccesful,tacklesTotal,throwInsAccurate,throwInsTotal,touches
376,54.0,30.0,34.0,2.0,6.0,35.0,9.0,10.0,18.0,6.0,12.0,1.0,14.0,3,2,0.0,8.0,Liverpool,19.0,1.0,352.0,18.0,486.0,508.0,w,8.0,9.0,1.0,6.0,23.0,14.0,10.0,24.0,16.0,25.0,688.0
377,54.0,24.0,26.0,2.0,3.0,19.0,8.0,12.0,16.0,6.0,10.0,0.0,13.0,2,3,1.0,9.0,Leicester,35.0,4.0,237.0,8.0,360.0,388.0,l,3.0,2.0,0.0,7.0,12.0,15.0,12.0,27.0,30.0,41.0,591.0
378,36.0,12.0,27.0,1.0,3.0,14.0,17.0,5.0,16.0,7.0,9.0,1.0,10.0,0,1,0.0,7.0,Newcastle,22.0,5.0,296.0,9.0,415.0,429.0,l,5.0,3.0,0.0,5.0,13.0,18.0,5.0,23.0,25.0,29.0,612.0
379,36.0,24.0,29.0,3.0,7.0,22.0,7.0,9.0,16.0,11.0,5.0,0.0,13.0,1,0,1.0,18.0,Huddersfield,14.0,4.0,353.0,3.0,456.0,478.0,w,1.0,3.0,0.0,3.0,7.0,24.0,9.0,33.0,19.0,23.0,674.0
380,28.0,16.0,40.0,1.0,3.0,12.0,8.0,16.0,15.0,6.0,9.0,1.0,21.0,2,1,0.0,10.0,Chelsea,16.0,0.0,195.0,8.0,280.0,302.0,w,3.0,4.0,1.0,2.0,9.0,31.0,16.0,47.0,6.0,8.0,498.0
381,28.0,12.0,14.0,8.0,14.0,15.0,20.0,9.0,27.0,11.0,16.0,1.0,14.0,1,2,1.0,4.0,Tottenham,13.0,0.0,501.0,14.0,592.0,634.0,l,6.0,6.0,1.0,6.0,18.0,14.0,9.0,23.0,23.0,25.0,821.0
382,60.0,33.0,61.0,1.0,1.0,27.0,4.0,16.0,13.0,5.0,8.0,0.0,21.0,1,1,0.0,5.0,Stoke,33.0,3.0,198.0,10.0,287.0,299.0,d,3.0,1.0,0.0,7.0,11.0,13.0,16.0,29.0,14.0,17.0,497.0
383,60.0,27.0,23.0,4.0,10.0,33.0,9.0,8.0,20.0,4.0,16.0,1.0,15.0,1,1,1.0,8.0,West Ham,27.0,5.0,371.0,9.0,463.0,496.0,d,9.0,3.0,0.0,6.0,18.0,9.0,8.0,17.0,22.0,31.0,695.0
384,45.0,21.0,23.0,1.0,4.0,13.0,11.0,13.0,14.0,4.0,10.0,0.0,17.0,0,2,0.0,20.0,West Brom,32.0,0.0,188.0,4.0,272.0,287.0,l,1.0,3.0,0.0,3.0,7.0,16.0,13.0,29.0,10.0,16.0,441.0
385,45.0,24.0,24.0,3.0,7.0,32.0,10.0,10.0,19.0,6.0,13.0,1.0,8.0,2,0,1.0,12.0,Arsenal,13.0,0.0,537.0,9.0,615.0,641.0,w,4.0,6.0,0.0,6.0,16.0,15.0,10.0,25.0,17.0,19.0,821.0
