match_name,id,team,name,position,xtPosition,playMins,result,points,teamGoals,teamGoalsConceded,goals,assists,goalsConceded,penaltyConceded,cornersTotal,aerialsWon,dribblesLost,shotsTotal,passesAccurate,tackleUnsuccesful,defensiveAerials,aerialsTotal,offensiveAerials,passesTotal,throwInsTotal,offsidesCaught,interceptions,ratings,touches,dispossessed,parriedSafe,claimsHigh,clearances,throwInAccuracy,collected,parriedDanger,possession,shotsOffTarget,dribblesAttempted,shotsOnPost,dribblesWon,cornersAccurate,tackleSuccess,throwInsAccurate,dribbleSuccess,errorsCount,aerialSuccess,shotsBlocked,tacklesTotal,tackleSuccessful,shotsOnTarget,dribbledPast,passesKey,foulsCommited,totalSaves,passSuccess,claimsTotal,adjustedRating,overallRating,parriedDangerRating,cccPassesRating,shotsAccuracyRating,errorsRating,goalsConcededRating,dribbleSuccessRating,aerialSuccessRating,collectedRating,totalSavesRating,dribbledPastRating,goalsRating,defenseThreeRatting,passesAccuracyRating
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,29106,Liverpool,Dejan Lovren,DC,DC,90,2,3.0,4.0,2.0,1,0,2,0,0.0,8.0,0.0,1.0,49.0,1.0,10.0,11.0,1.0,62.0,0.0,0.0,0.0,0,76.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,100.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2675.01,0,1.7211728317073969,4.302932079268492,0.0,0.0,0.0,-15.0,0.0,0.0,21.51073758088768,0.0,0.0,2.0,15.0,15.000000450000005,4.5185827617972265
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,113275,Liverpool,Alberto Moreno,DL,DL/DR,90,2,3.0,4.0,2.0,0,1,2,0,0.0,0.0,0.0,1.0,35.0,2.0,1.0,1.0,0.0,41.0,8.0,0.0,1.0,0,69.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,43.0,1.0,0.0,1.0,0.0,0.0,200.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,2750.0,0,2.09994165277268,5.249854131931699,0.0,15.0,0.0,9.0,0.0,1.1484559163877959,0.04316985679165823,0.0,0.0,0.0,0.0,18.28225527004211,9.02466027609543
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,111212,Liverpool,Emre Can,MC,CM/LCM/RCM,90,2,3.0,4.0,2.0,1,0,2,0,0.0,4.0,2.0,2.0,46.0,0.0,6.0,9.0,3.0,60.0,1.0,0.0,0.0,0,80.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,0.0,2.0,0.0,0.0,0.0,300.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,3616.67,0,2.7645671323969463,6.911417830992366,0.0,5.0,0.0,10.0,0.0,0.2275012989012448,1.9783899303137868,0.0,0.0,5.0,20.0,22.62273657615656,4.285550504552068
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,68659,Liverpool,Jordan Henderson,MC,CM/LCM/RCM,90,2,3.0,4.0,2.0,0,1,2,0,0.0,1.0,0.0,0.0,55.0,2.0,3.0,3.0,0.0,65.0,0.0,0.0,0.0,0,76.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,2.0,2.0,1.0,0.0,3183.33,0,2.5013462136615168,6.253365534153793,0.0,20.0,0.0,10.0,0.0,0.2275012989012448,1.0684968527858731,0.0,0.0,-5.0,0.0,24.637426081619893,11.600231108230915
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,21683,Liverpool,Adam Lallana,MC,CM/LCM/RCM,79,2,3.0,4.0,2.0,0,0,2,0,0.0,0.0,1.0,1.0,19.0,1.0,1.0,2.0,1.0,28.0,1.0,0.0,1.0,0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,300.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1516.67,0,1.1580443769486908,2.895110942371727,0.0,0.0,0.0,10.0,0.0,0.2275012989012448,0.04316985679165823,0.0,0.0,-0.6962025316455698,0.0,18.792872146779214,0.5837686528907173
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,109915,Liverpool,Sadio Mané,FWR,FW,95,2,3.0,4.0,2.0,0,0,2,0,0.0,0.0,3.0,3.0,31.0,0.0,0.0,4.0,4.0,40.0,1.0,0.0,0.0,0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,2.0,6.0,0.0,3.0,0.0,100.0,1.0,300.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2225.0,0,2.0591677146655374,5.147919286663843,0.0,17.05263157894737,10.126643352280906,0.0,0.0,5.0,0.5804156632005221,0.0,0.0,0.0,0.0,4.359416002859471,14.360086269350159
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,96182,Liverpool,Roberto Firmino,FW,FW,90,2,3.0,4.0,2.0,1,0,2,0,0.0,2.0,4.0,4.0,27.0,1.0,1.0,12.0,11.0,35.0,0.0,0.0,2.0,0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,6.0,0.0,2.0,0.0,100.0,0.0,200.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,2450.0,0,2.3663117553506425,5.915779388376607,0.0,0.0,15.817860962698115,0.0,0.0,5.0,2.183500075379551,0.0,0.0,0.0,17.0,4.983395286623784,14.17303755906462
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,80767,Liverpool,Philippe Coutinho,FWL,FW,92,2,3.0,4.0,2.0,0,2,2,0,3.0,0.0,5.0,4.0,36.0,5.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0,78.0,3.0,0.0,0.0,0.0,150.0,0.0,0.0,50.0,1.0,8.0,0.0,3.0,2.0,400.0,0.0,300.0,0.0,0.0,0.0,9.0,4.0,3.0,5.0,4.0,0.0,0.0,2816.67,0,3.7667848339165055,9.416962084791264,0.0,46.95652173913044,19.544997402197517,0.0,0.0,5.0,0.5804156632005221,0.0,0.0,0.0,0.0,4.9998536584136835,17.087832384970504
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,124688,Liverpool,Divock Origi,Sub,Sub,6,2,3.0,4.0,2.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,10839,Liverpool,Ragnar Klavan,Sub,Sub,3,2,3.0,4.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,33568,Liverpool,Georginio Wijnaldum,Sub,Sub,19,2,3.0,4.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,566.6700000000002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,52197,Liverpool,Simon Mignolet,Sub,Sub,0,2,3.0,4.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,31451,Liverpool,Lucas Leiva,Sub,Sub,0,2,3.0,4.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,296522,Liverpool,Connor Randall,Sub,Sub,0,2,3.0,4.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England-Premier-League/2016-2017/2016-10-29/Crystal Palace-Liverpool,23736,Liverpool,Daniel Sturridge,Sub,Sub,0,2,3.0,4.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England-Premier-League/2016-2017/2016-12-14/Middlesbrough-Liverpool,52197,Liverpool,Simon Mignolet,GK,GK,90,3,3.0,3.0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0,33.0,0.0,1.0,2.0,0.0,0.0,2.0,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1650.0,0,3.401611746080333,8.504029365200832,14.979751528901167,0.0,0.0,15.0,20.0,0.0,0.0,14.849693314326112,12.500000375000004,0.0,0.0,0.0,7.710848433781036
England-Premier-League/2016-2017/2016-12-14/Middlesbrough-Liverpool,69375,Liverpool,Nathaniel Clyne,DR,DL/DR,90,3,3.0,3.0,0.0,0,1,0,0,0.0,2.0,0.0,0.0,71.0,0.0,1.0,2.0,1.0,74.0,8.0,0.0,1.0,0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77.0,0.0,0.0,0.0,0.0,0.0,300.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,4600.0,0,2.6023560929920926,6.5058902324802315,0.0,20.0,0.0,9.0,0.0,1.1484559163877959,4.956830143208341,0.0,0.0,16.0,0.0,3.997808152277343,9.955808112928818
England-Premier-League/2016-2017/2016-12-14/Middlesbrough-Liverpool,29106,Liverpool,Dejan Lovren,DC,DC,90,3,3.0,3.0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,82.0,1.0,3.0,3.0,0.0,96.0,0.0,0.0,5.0,0,110.0,0.0,0.0,0.0,4.0,0.0,0.0,0,96.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4366.68,0,1.7940287790982277,4.485071947745568,0.0,0.0,0.0,15.0,0.0,0.0,5.342484263929366,0.0,0.0,2.0,0.0,15.000000450000005,7.508234763526307
England-Premier-League/2016-2017/2016-12-14/Middlesbrough-Liverpool,10839,Liverpool,Ragnar Klavan,DC,DC,90,3,3.0,3.0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0,0.0,56.0,0.0,0.0,0.0,0,67.0,1.0,0.0,0.0,4.0,0.0,0.0,0,56.0,0.0,3.0,0.0,3.0,0.0,100.0,0.0,300.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,3166.67,0,2.323120259199643,5.807800647999108,0.0,0.0,0.0,15.0,0.0,0.0,24.78415071604171,0.0,0.0,2.0,0.0,7.125757433413591,9.16809833053577
England-Premier-League/2016-2017/2016-12-14/Middlesbrough-Liverpool,4511,Liverpool,James Milner,DL,DL/DR,90,3,3.0,3.0,0.0,0,0,0,0,1.0,1.0,0.0,1.0,48.0,3.0,1.0,2.0,1.0,58.0,8.0,0.0,4.0,0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,0.0,1.0,0.0,1.0,0.0,300.0,8.0,100.0,0.0,0.0,1.0,6.0,3.0,0.0,3.0,0.0,2.0,0.0,3550.0,0,1.5422833016606252,3.8557082541515633,0.0,0.0,0.0,9.0,0.0,15.0,2.5000000750000013,0.0,0.0,-8.0,0.0,11.717744729957886,8.339337736557736
England-Premier-League/2016-2017/2016-12-14/Middlesbrough-Liverpool,33568,Liverpool,Georginio Wijnaldum,MC,CM/LCM/RCM,88,3,3.0,3.0,0.0,0,0,0,0,0.0,3.0,0.0,0.0,39.0,0.0,3.0,4.0,1.0,44.0,0.0,0.0,0.0,0,54.0,1.0,0.0,0.0,2.0,0.0,0.0,0,45.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2716.67,0,2.109698600461859,5.274246501154646,0.0,5.113636363636363,0.0,10.0,0.0,0.2275012989012448,4.415351753313369,0.0,0.0,5.0,0.0,12.796906825181868,15.189068770513625
England-Premier-League/2016-2017/2016-12-14/Middlesbrough-Liverpool,21683,Liverpool,Adam Lallana,MC,CM/LCM/RCM,83,3,3.0,3.0,0.0,2,1,0,0,0.0,0.0,0.0,3.0,60.0,2.0,0.0,2.0,2.0,71.0,0.0,1.0,0.0,0,83.0,2.0,0.0,0.0,3.0,0.0,0.0,0,71.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,3933.34,0,4.133690902029723,10.334227255074307,0.0,16.265060240963855,0.0,10.0,0.0,10.0,0.04316985679165823,0.0,0.0,-5.8433734939759026,43.373493975903614,18.009707753084847,11.494214217974994
