,name,match_count,mins,goals,conceded,goals_per_90,conceded_per_90,goals_per_match,conceded_per_match,diff_per_90,diff_per_match
0,433,955,24245,387,317,1.4365848628583213,1.1767374716436378,0.40523560209424087,0.3319371727748691,0.2598473912146835,0.07329842931937175
1,3511,143,3181,51,52,1.442942470921094,1.4712354605469977,0.35664335664335667,0.36363636363636365,-0.028292989625903653,-0.006993006993006978
2,343,198,4971,94,61,1.7018708509354254,1.104405552202776,0.47474747474747475,0.30808080808080807,0.5974652987326494,0.16666666666666669
3,343d,8,176,3,3,1.534090909090909,1.534090909090909,0.375,0.375,0.0,0.0
4,3412,66,1442,21,12,1.3106796116504855,0.7489597780859917,0.3181818181818182,0.18181818181818182,0.5617198335644938,0.13636363636363635
5,41212,95,2067,26,23,1.1320754716981132,1.0014513788098693,0.2736842105263158,0.24210526315789474,0.13062409288824384,0.03157894736842107
6,4321,19,403,4,11,0.8933002481389578,2.456575682382134,0.21052631578947367,0.5789473684210527,-1.563275434243176,-0.368421052631579
7,4222,34,535,11,9,1.8504672897196262,1.514018691588785,0.3235294117647059,0.2647058823529412,0.33644859813084116,0.05882352941176472
8,3142,33,880,10,9,1.0227272727272727,0.9204545454545454,0.30303030303030304,0.2727272727272727,0.10227272727272729,0.03030303030303033
9,352,141,3409,39,61,1.0296274567321795,1.6104429451452038,0.2765957446808511,0.4326241134751773,-0.5808154884130243,-0.15602836879432624
10,4231,1694,40289,597,558,1.333614634267418,1.2464940802700488,0.3524203069657615,0.3293978748524203,0.08712055399736918,0.023022432113341207
11,4312,44,903,6,10,0.5980066445182725,0.9966777408637875,0.13636363636363635,0.22727272727272727,-0.398671096345515,-0.09090909090909091
12,451,176,3723,25,64,0.604351329572925,1.5471394037066881,0.14204545454545456,0.36363636363636365,-0.9427880741337631,-0.2215909090909091
13,541,133,1837,21,31,1.0288513881328252,1.5187806205770278,0.15789473684210525,0.23308270676691728,-0.4899292324442026,-0.07518796992481203
14,442,689,15413,203,241,1.185363005255304,1.407253617076494,0.2946298984034833,0.3497822931785196,-0.22189061182119008,-0.055152394775036306
15,4141,264,5676,82,79,1.3002114164904863,1.252642706131078,0.3106060606060606,0.29924242424242425,0.04756871035940824,0.011363636363636354
16,4411,504,12334,155,175,1.131019944867845,1.2769580022701474,0.30753968253968256,0.3472222222222222,-0.14593805740230237,-0.03968253968253965
17,3421,451,11752,180,181,1.3784887678692987,1.386147038801906,0.3991130820399113,0.401330376940133,-0.007658270932607181,-0.0022172949002217113
18,4132,10,277,0,5,0.0,1.6245487364620939,0.0,0.5,-1.6245487364620939,-0.5
19,532,63,1258,8,20,0.5723370429252782,1.4308426073131955,0.12698412698412698,0.31746031746031744,-0.8585055643879173,-0.19047619047619047
20,4240,7,28,0,1,0.0,3.214285714285714,0.0,0.14285714285714285,-3.214285714285714,-0.14285714285714285
