playerName,AerialLossPerD90m,AerialLossPerDefense,AerialLossTotal,AerialWonPerD90m,AerialWonPerDefense,AerialWonTotal,AttackTimes,ClearPerD90m,ClearPerDefense,ClearTotal,DefendTimes,DispossessedInD3rdPerA90m,DispossessedInD3rdPerAttack,DispossessedInD3rdTotal,DispossessedPerA90m,DispossessedPerAttack,DispossessedTotal,DribblePerA90m,DribblePerAttack,DribbleTotal,ForwardPassMeterPerA90m,ForwardPassMeterPerAttack,ForwardPassMeterTotal,ForwardPassPerA90m,ForwardPassPerAttack,ForwardPassTotal,FoulPerD90m,FoulPerDefense,FoulTotal,FouledPerA90m,FouledPerAttack,FouledTotal,GoalPerA90m,GoalPerAttack,GoalTotal,InterceptionsPerD90m,InterceptionsPerDefense,InterceptionsTotal,KeyPassPerA90m,KeyPassPerAttack,KeyPassTotal,PassCrossAccuratePerA90m,PassCrossAccuratePerAttack,PassCrossAccurateTotal,PassLeadingKpPerA90m,PassLeadingKpPerAttack,PassLeadingKpTotal,PassPerA90m,PassPerAttack,PassTotal,Rounds,SavePerD90m,SavePerDefense,SaveTotal,ShotPerA90m,ShotPerAttack,ShotTotal,SuccessPassPerA90m,SuccessPassPerAttack,SuccessPassTotal,SuccessfulPassToA3rdPerA90m,SuccessfulPassToA3rdPerAttack,SuccessfulPassToA3rdTotal,TacklesPerD90m,TacklesPerDefense,TacklesTotal,TurnoverPerA90m,TurnoverPerAttack,TurnoverTotal,UnSuccessPassPerA90m,UnSuccessPassPerAttack,UnSuccessPassTotal,minutes,opponent_team_id,team_id
Georginio Wijnaldum,2.8311051487255403,0.4275653923541248,34.0,2.414766156265902,0.36468812877263584,29.0,1569.6,1.8318915668224085,0.2766599597585513,22.0,1080.85,0.286697247706422,0.06287726358148893,5.0,2.121559633027523,0.46529175050301813,37.0,1.4908256880733946,0.3269617706237425,26.0,17.947902175421675,3.93626023565586,313.011413939354,54.128440366972484,11.87122736418511,944.0,1.4988203728546978,0.22635814889336017,18.0,1.548165137614679,0.3395372233400403,27.0,0.17201834862385323,0.03772635814889336,3.0,1.6653559698385532,0.2515090543259557,20.0,1.261467889908257,0.2766599597585513,22.0,0.17201834862385323,0.03772635814889336,3.0,1.2041284403669725,0.2640845070422535,21.0,96.84633027522938,21.239939637826964,1689.0,7952,0.0,0.0,0.0,1.6628440366972477,0.36468812877263584,29.0,87.27064220183487,19.13983903420523,1522.0,8.715596330275229,1.9114688128772637,152.0,2.081694962298191,0.3143863179074447,25.0,2.924311926605505,0.6413480885311872,51.0,8.543577981651376,1.8737424547283703,149.0,2737,3089,858
Aron Gunnarsson,1.9998941854928318,0.4149377593360996,28.0,3.2855404475953667,0.6816834617664493,46.0,933.5000000000001,3.7140892016295446,0.7705986959098993,52.0,1260.0666666666662,0.192822710230316,0.02963841138114997,2.0,0.5784681306909479,0.08891523414344991,6.0,0.9641135511515799,0.14819205690574985,10.0,49.82474964176536,7.65846733033458,516.7933754509775,61.606855918585964,9.469472436277416,639.0,1.7856198084757429,0.3704801422643746,25.0,2.5066952329941077,0.38529934795494963,26.0,0.096411355115158,0.014819205690574985,1.0,2.5712925242050697,0.5334914048606995,36.0,1.060524906266738,0.16301126259632484,11.0,0.192822710230316,0.02963841138114997,2.0,0.6748794858061059,0.1037344398340249,7.0,83.20299946438135,12.788974510966211,863.0,6748,0.0,0.0,0.0,1.9282271023031599,0.2963841138114997,20.0,49.07337975361542,7.542975696502667,509.0,7.038028923406534,1.0818020154119738,73.0,1.9998941854928318,0.4149377593360996,28.0,2.121049812533476,0.3260225251926497,22.0,18.70380289234065,2.874925903971547,194.0,2289,2379,5452
Etienne Capoue,2.5042422453862287,0.48277375466315553,44.0,3.8701925610514443,0.7461048935703314,68.0,1386.8999999999999,5.1792282802306095,0.9984639016897081,91.0,1581.3166666666666,0.5191434133679429,0.08777704630239193,8.0,1.2329656067488646,0.20847048496818082,19.0,1.8818948734587932,0.3181917928461707,29.0,41.28905601959555,6.981175699604646,636.2643532619674,68.39714471122649,11.564625850340136,1054.0,2.61807143835833,0.5047180162387536,46.0,3.5042180402336154,0.5924950625411455,54.0,0.06489292667099286,0.010972130787798991,1.0,4.894655297800356,0.9436032477507131,86.0,0.5840363400389358,0.09874917709019092,9.0,0.06489292667099286,0.010972130787798991,1.0,0.45425048669695006,0.07680491551459294,7.0,110.05840363400391,18.608733816107087,1696.0,9114,0.0,0.0,0.0,1.1680726800778716,0.19749835418038184,18.0,92.21284879948087,15.591397849462366,1421.0,8.760545100584038,1.4812376563528638,135.0,3.1303028067327863,0.6034671933289445,55.0,1.1680726800778716,0.19749835418038184,18.0,17.19662556781311,2.9076146587667324,265.0,3064,3198,864
Abdoulaye Doucouré,2.1050191748493408,0.4023926046764546,37.0,2.161911584980404,0.4132680804785209,38.0,1429.2666666666667,2.901512916684226,0.5546492659053833,51.0,1581.9333333333332,0.3778161294836513,0.06525285481239804,6.0,2.203927421987966,0.38064165307232195,35.0,1.7631419375903725,0.3045133224578575,28.0,29.878177906238314,5.160278381019018,474.48759713469866,71.21834040766826,12.30016313213703,1131.0,1.9343419444561507,0.36976617727025557,34.0,0.8186016138812445,0.14138118542686243,13.0,0.3148467745697094,0.0543773790103317,5.0,1.5929874836697713,0.3045133224578575,28.0,2.0150193572461403,0.3480152256661229,32.0,0.12593870982788377,0.021750951604132682,2.0,1.7631419375903725,0.3045133224578575,28.0,114.73016465320211,19.81511691136487,1822.0,9195,0.0,0.0,0.0,2.8965903260413266,0.5002718868950516,46.0,94.95778721022437,16.40021750951604,1508.0,8.123046783898504,1.4029363784665578,129.0,1.9343419444561507,0.36976617727025557,34.0,3.526283875180745,0.609026644915715,56.0,18.953775829096507,3.273518216421969,301.0,3105,3177,891
Philip Billing,2.3558496328073875,0.41981528127623846,30.0,6.674907292954265,1.1894766302826756,85.0,1127.3666666666666,3.298189485930343,0.5877413937867338,42.0,1146.0833333333333,0.1596641140120044,0.027987685418415897,2.0,2.315129653174064,0.40582143856703046,29.0,1.596641140120044,0.279876854184159,20.0,32.03593242360106,5.615611274365412,401.29158166615235,61.7900121226457,10.831234256926953,774.0,2.9055478804624446,0.517772180240694,37.0,2.3949617101800658,0.41981528127623846,30.0,0.1596641140120044,0.027987685418415897,2.0,4.476114302334036,0.797649034424853,57.0,1.4369770261080397,0.2518891687657431,18.0,0.7184885130540198,0.12594458438287154,9.0,0.798320570060022,0.1399384270920795,10.0,100.34889565654476,17.59026028547439,1257.0,7146,0.0,0.0,0.0,3.352946394252092,0.5877413937867338,42.0,67.21859199905384,11.782815561153093,842.0,5.588243990420153,0.9795689896445563,70.0,3.5337744492110814,0.6297229219143577,45.0,4.310931078324119,0.7556675062972292,54.0,18.361373111380505,3.218583823117828,230.0,2362,2848,4648
Jonathan Hogg,2.3220329578871435,0.41543822031626915,31.0,1.6478943572102307,0.2948271240954168,22.0,1086.183333333333,1.1984686234256223,0.21441972661484857,16.0,1201.5333333333338,0.4142947016310937,0.06700616456714018,5.0,1.5743198661981561,0.25462342535513266,19.0,0.9114483435884063,0.1474135620477084,11.0,44.78280759010317,7.242970193311823,540.4704358249282,78.96457013088647,12.771374966496918,953.0,3.8201187371691714,0.6834628785848298,51.0,2.568627150112781,0.41543822031626915,31.0,0.0,0.0,0.0,4.868778782666591,0.8710801393728222,65.0,1.1600251645670625,0.18761726078799248,14.0,0.16571788065243748,0.02680246582685607,2.0,0.7457304629359687,0.12061109622085232,9.0,121.80264227954156,19.69981238273921,1470.0,7462,0.0,0.0,0.0,0.6628715226097499,0.10720986330742428,8.0,101.99935554157527,16.496917716429913,1231.0,10.025931779472469,1.6215491825247925,121.0,3.0710758475281574,0.5494505494505495,41.0,2.485768209786562,0.40203698740284105,30.0,19.306133096008967,3.122487268828732,233.0,2373,2713,4814
Oriol Romeu,2.6956569970602917,0.522572216577152,36.0,2.995174441178102,0.5806357961968356,40.0,928.4000000000001,2.321260191913029,0.4499927420525475,31.0,1201.9333333333334,0.2908229211546747,0.04354768471476266,3.0,1.3571736320551484,0.20322252866889243,14.0,1.5510555794915983,0.2322543184787342,16.0,46.17155671512032,6.913706755426157,476.28525838130787,67.27703576044809,10.074031064015095,694.0,3.3695712463253646,0.65321527072144,45.0,1.6479965532098233,0.24677021338365512,17.0,0.0969409737182249,0.014515894904920888,1.0,3.3695712463253646,0.65321527072144,45.0,0.5816458423093493,0.08709536942952532,6.0,0.0969409737182249,0.014515894904920888,1.0,0.5816458423093493,0.08709536942952532,6.0,101.10943558810855,15.140078385832487,1043.0,6889,0.0,0.0,0.0,0.969409737182249,0.1451589490492089,10.0,80.17018526497198,12.004645086369575,827.0,10.857389056441187,1.6257802293511394,112.0,3.2946918852959124,0.6386993758165191,44.0,2.0357604480827227,0.3048337930033387,21.0,20.45454545454545,3.0628538249383075,211.0,2198,2711,558
Mohamed Diamé,3.0482641828958523,0.6213936972924988,42.0,2.6127978710535875,0.5326231691078562,36.0,935.1500000000002,2.4676424337728324,0.5030329930463086,34.0,1240.0499999999995,0.9624124472009836,0.14795088030773784,10.0,3.4646848099235408,0.5326231691078562,36.0,1.347377426081377,0.20713123243083298,14.0,27.106777458331916,4.167102783146602,281.65447711287885,42.923595145163866,6.598609261725106,446.0,2.54022015241321,0.5178280810770824,35.0,1.8285836496818688,0.2811066725847019,19.0,0.0,0.0,0.0,1.8870206846498134,0.3846722888001184,26.0,0.19248248944019672,0.029590176061547565,2.0,0.09624124472009836,0.014795088030773782,1.0,0.09624124472009836,0.014795088030773782,1.0,68.62000748543012,10.548897765941707,713.0,6759,0.0,0.0,0.0,1.9248248944019672,0.2959017606154757,20.0,52.162754638293315,8.01893771267939,542.0,4.13837352296423,0.6361887853232727,43.0,3.193419620176607,0.6509838733540465,44.0,2.983478586323049,0.45864772895398725,31.0,15.20611666577554,2.3376239088622577,158.0,2260,2730,690
Dale Stephens,1.366663982422032,0.27802350562365724,22.0,1.5530272527523088,0.3159358018450651,25.0,1106.6166666666663,2.609085784623879,0.5307721470997093,42.0,1448.7833333333338,0.24398692712020129,0.03791229622140781,3.0,1.1386056598942726,0.17692404903323644,14.0,0.4066448785336688,0.06318716036901302,5.0,38.858083733734254,6.038025063465073,477.7889232719912,69.04830037501696,10.72917983065841,849.0,2.609085784623879,0.5307721470997093,42.0,0.8132897570673376,0.12637432073802604,10.0,0.08132897570673375,0.012637432073802603,1.0,2.981812325284433,0.6065967395425249,48.0,1.4639215627212079,0.22747377732844687,18.0,0.08132897570673375,0.012637432073802603,1.0,1.382592587014474,0.21483634525464426,17.0,107.67956383571551,16.731960065714645,1324.0,7913,0.0,0.0,0.0,0.8946187327740714,0.13901175281182862,11.0,89.70586020452734,13.93908757740427,1103.0,10.979411720409058,1.7060533299633516,135.0,3.4166599560550797,0.6950587640591431,55.0,1.9518954169616103,0.30329836977126245,24.0,17.567058752654493,2.7296853279413624,216.0,2644,2533,6330
João Moutinho,2.245125713910589,0.4368318197493965,38.0,1.2407273682137467,0.24140705828256123,21.0,1449.4666666666665,2.1860434582813633,0.425336245545465,37.0,1523.2999999999997,0.1862754116456628,0.03448672261179446,3.0,1.3660196854015272,0.2529026324864927,22.0,0.7451016465826512,0.13794689044717784,12.0,41.87300308474787,7.752298757784744,674.3724689396948,69.17026952442279,12.806069663179676,1114.0,3.0722772927197535,0.5977698586044373,52.0,2.2353049397479534,0.4138406713415335,36.0,0.0620918038818876,0.011495574203931486,1.0,2.126961202652137,0.4138406713415335,36.0,4.781068898905345,0.8851592137027244,77.0,3.539232821267593,0.6552477296240947,57.0,3.6634164290313684,0.6782388780319577,59.0,122.19667003955479,22.623290033337167,1968.0,8699,0.0,0.0,0.0,1.0555606659920893,0.19542476146683527,17.0,94.1311746849416,17.427290493160132,1516.0,10.245147640511453,1.8967697436486952,165.0,3.1904418039782056,0.6207610070123003,54.0,1.0555606659920893,0.19542476146683527,17.0,16.392236224818326,3.0348315898379123,264.0,3079,3182,5796
