,name,wins,draws,loses,total,win_rate,draw_rate,lose_rate
0,433,121,59,89,269,0.44981412639405205,0.21933085501858737,0.3308550185873606
1,3511,10,7,16,33,0.30303030303030304,0.21212121212121213,0.48484848484848486
2,4132,0,0,3,3,0.0,0.0,1.0
3,343,32,8,14,54,0.5925925925925926,0.14814814814814814,0.25925925925925924
4,343d,1,0,1,2,0.5,0.0,0.5
5,3412,5,5,4,14,0.35714285714285715,0.35714285714285715,0.2857142857142857
6,4141,20,18,20,58,0.3448275862068966,0.3103448275862069,0.3448275862068966
7,4321,1,0,3,4,0.25,0.0,0.75
8,4222,2,0,1,3,0.6666666666666666,0.0,0.3333333333333333
9,352,9,12,24,45,0.2,0.26666666666666666,0.5333333333333333
10,4231,167,109,151,427,0.3911007025761124,0.25526932084309134,0.35362997658079626
11,3142,4,3,3,10,0.4,0.3,0.3
12,451,7,7,23,37,0.1891891891891892,0.1891891891891892,0.6216216216216216
13,4411,43,43,45,131,0.3282442748091603,0.3282442748091603,0.3435114503816794
14,442,39,38,70,147,0.2653061224489796,0.2585034013605442,0.47619047619047616
15,41212,6,7,6,19,0.3157894736842105,0.3684210526315789,0.3157894736842105
16,541,4,1,8,13,0.3076923076923077,0.07692307692307693,0.6153846153846154
17,3421,67,22,50,139,0.48201438848920863,0.15827338129496402,0.3597122302158273
18,4312,3,3,3,9,0.3333333333333333,0.3333333333333333,0.3333333333333333
19,532,1,4,8,13,0.07692307692307693,0.3076923076923077,0.6153846153846154
