playerName,AerialLossPerD90m,AerialLossPerDefense,AerialLossTotal,AerialWonPerD90m,AerialWonPerDefense,AerialWonTotal,AttackTimes,ClearPerD90m,ClearPerDefense,ClearTotal,DefendTimes,DispossessedInD3rdPerA90m,DispossessedInD3rdPerAttack,DispossessedInD3rdTotal,DispossessedPerA90m,DispossessedPerAttack,DispossessedTotal,DribblePerA90m,DribblePerAttack,DribbleTotal,ForwardPassMeterPerA90m,ForwardPassMeterPerAttack,ForwardPassMeterTotal,ForwardPassPerA90m,ForwardPassPerAttack,ForwardPassTotal,FoulPerD90m,FoulPerDefense,FoulTotal,FouledPerA90m,FouledPerAttack,FouledTotal,GoalPerA90m,GoalPerAttack,GoalTotal,InterceptionsPerD90m,InterceptionsPerDefense,InterceptionsTotal,KeyPassPerA90m,KeyPassPerAttack,KeyPassTotal,PassCrossAccuratePerA90m,PassCrossAccuratePerAttack,PassCrossAccurateTotal,PassLeadingKpPerA90m,PassLeadingKpPerAttack,PassLeadingKpTotal,PassPerA90m,PassPerAttack,PassTotal,Rounds,SavePerD90m,SavePerDefense,SaveTotal,ShotPerA90m,ShotPerAttack,ShotTotal,SuccessPassPerA90m,SuccessPassPerAttack,SuccessPassTotal,SuccessfulPassToA3rdPerA90m,SuccessfulPassToA3rdPerAttack,SuccessfulPassToA3rdTotal,TacklesPerD90m,TacklesPerDefense,TacklesTotal,TurnoverPerA90m,TurnoverPerAttack,TurnoverTotal,UnSuccessPassPerA90m,UnSuccessPassPerAttack,UnSuccessPassTotal,minutes,opponent_team_id,team_id
James Milner,2.4258760107816713,0.44267374944665777,10.0,2.9110512129380055,0.5312084993359893,12.0,409.41666666666674,2.4258760107816713,0.44267374944665777,10.0,371.0,0.2198249542031345,0.04426737494466578,1.0,1.758599633625076,0.35413899955732625,8.0,0.439649908406269,0.08853474988933156,2.0,119.95353077238289,24.15571035548002,545.6774969302937,81.77488296356604,16.46746347941567,372.0,3.1536388140161726,0.5754758742806552,13.0,2.637899450437614,0.5312084993359893,12.0,0.439649908406269,0.08853474988933156,2.0,3.1536388140161726,0.5754758742806552,13.0,3.2973743130470177,0.6640106241699867,15.0,3.077549358843883,0.619743249225321,14.0,2.4180744962344796,0.4869411243913236,11.0,135.19234683492772,27.224435590969453,615.0,2259,0.0,0.0,0.0,0.879299816812538,0.17706949977866313,4.0,105.29615306330142,21.204072598494907,479.0,15.387746794219415,3.098716246126605,70.0,2.9110512129380055,0.5312084993359893,12.0,3.2973743130470177,0.6640106241699867,15.0,18.685121107266433,3.7627268702965915,85.0,803,974,260
Mark Noble,0.7537538136353663,0.15415106804668577,7.0,0.6460746974017426,0.13212948689715923,6.0,717.4666666666665,1.0767911623362376,0.22021581149526537,10.0,835.816666666667,0.6272068388775323,0.11010790574763268,5.0,2.508827355510129,0.44043162299053074,20.0,1.0035309422040515,0.17617264919621228,8.0,53.95782387357191,9.472446116900025,430.1437781684302,77.8990893885895,13.675401893855978,621.0,1.9382240922052278,0.3963884606914776,18.0,3.0105928266121547,0.5285179475886369,24.0,0.12544136777550643,0.022021581149526535,1.0,0.8614329298689901,0.17617264919621228,8.0,1.0035309422040515,0.17617264919621228,8.0,0.37632410332651933,0.06606474344857961,3.0,1.0035309422040515,0.17617264919621228,8.0,114.65341014681289,20.127725170667254,914.0,4541,0.0,0.0,0.0,1.2544136777550645,0.22021581149526537,10.0,93.7047017283033,16.450121118696323,747.0,10.662516260918048,1.8718343977097553,85.0,1.6151867435043565,0.33032371724289805,15.0,2.383385987734622,0.41841004184100417,19.0,17.812674224121917,3.1270645232327685,142.0,1615,1841,551
Mousa Dembélé,2.040353661301292,0.35285815102328866,5.0,2.040353661301292,0.35285815102328866,5.0,240.2,2.040353661301292,0.35285815102328866,5.0,220.55,0.7493755203996669,0.14114326040931546,2.0,1.1240632805995006,0.2117148906139732,3.0,2.248126561199001,0.4234297812279464,6.0,8.031831335133814,1.5127780809998759,21.436065407768243,50.95753538717736,9.597741707833451,136.0,4.896848787123101,0.8468595624558928,12.0,1.1240632805995006,0.2117148906139732,3.0,0.0,0.0,0.0,3.264565858082068,0.5645730416372619,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.67194004995837,17.642907551164434,250.0,1417,0.0,0.0,0.0,0.0,0.0,0.0,83.18068276436303,15.666901905434017,222.0,4.870940882597836,0.9174311926605505,13.0,3.672636590342326,0.6351446718419196,9.0,2.622814321398834,0.4940014114326041,7.0,10.116569525395503,1.9054340155257588,27.0,476,790,210
Andrew Surman,1.165425704111363,0.23873470605789318,8.0,2.622207834250567,0.5371530886302597,18.0,583.1,3.3505988993201687,0.6863622799164428,23.0,617.8,0.0,0.0,0.0,0.46304235980106323,0.08952551477170993,3.0,0.46304235980106323,0.08952551477170993,3.0,63.99845387388235,12.373586144719917,414.6388717095644,69.14765906362544,13.369143539242017,448.0,0.8740692780835222,0.17905102954341987,6.0,0.9260847196021265,0.17905102954341987,6.0,0.0,0.0,0.0,0.8740692780835222,0.17905102954341987,6.0,1.0804321728691475,0.20889286780065652,7.0,0.1543474532670211,0.029841838257236648,1.0,0.7717372663351054,0.1492091912861832,5.0,110.35842908592006,21.336914353924204,715.0,3351,0.0,0.0,0.0,1.3891270794031898,0.26857654431512984,9.0,96.31281083862115,18.621307072515666,624.0,9.106499742754243,1.7606684571769622,59.0,0.5827128520556815,0.11936735302894659,4.0,2.006516892471274,0.3879438973440764,13.0,13.736923340764877,2.6559236048940615,89.0,1248,1288,2379
Dan Gosling,4.160739687055476,0.8240887480190174,26.0,3.2005689900426737,0.6339144215530903,20.0,528.7166666666666,4.32076813655761,0.8557844690966719,27.0,562.4000000000001,0.3404469942943606,0.06339144215530904,2.0,1.8724584686189834,0.3486529318541997,11.0,1.021340982883082,0.1901743264659271,6.0,51.162113022065455,9.526417276509845,300.5584650738856,66.38716388740032,12.361331220285262,390.0,2.560455192034139,0.5071315372424723,16.0,3.4044699429436065,0.6339144215530903,20.0,0.0,0.0,0.0,1.4402560455192033,0.28526148969889065,9.0,0.6808939885887212,0.12678288431061807,4.0,0.1702234971471803,0.03169572107765452,1.0,0.510670491441541,0.09508716323296355,3.0,94.64426441383226,17.62282091917591,556.0,3155,0.0,0.0,0.0,1.3617879771774424,0.25356576862123614,8.0,73.36632727043471,13.660855784469097,431.0,7.660057371623114,1.4263074484944533,45.0,1.2802275960170695,0.25356576862123614,8.0,1.5320114743246227,0.28526148969889065,9.0,20.426819657661635,3.8034865293185423,120.0,1127,606,2196
David Silva,1.492485748833995,0.21141649048625794,8.0,1.865607186042494,0.2642706131078224,10.0,982.0666666666666,1.3059250302297458,0.18498942917547567,7.0,482.4166666666668,0.0,0.0,0.0,1.5579390401194761,0.4492600422832981,17.0,2.016156404860498,0.5813953488372093,22.0,35.014105079527724,10.096953682689744,382.0687273529799,61.126196456452384,17.626849894291755,667.0,2.7984107790637407,0.3964059196617336,15.0,1.6495825130676804,0.47568710359408034,18.0,0.5498608376892268,0.15856236786469344,6.0,2.2387286232509926,0.3171247357293869,12.0,4.123956282669202,1.1892177589852009,45.0,1.4662955671712714,0.42283298097251587,16.0,3.574095444979975,1.0306553911205074,39.0,116.29556717127147,33.535940803382665,1269.0,3784,0.0,0.0,0.0,3.48245197203177,1.004228329809725,38.0,98.05851605457877,28.276955602536997,1070.0,8.247912565338403,2.3784355179704018,90.0,2.052167904646743,0.29069767441860467,11.0,1.3746520942230671,0.3964059196617336,15.0,12.830086212748627,3.699788583509514,140.0,1529,1338,3006
João Moutinho,2.6886628051715267,0.5342831700801425,30.0,1.2547093090800459,0.2493321460373998,14.0,920.9333333333333,2.5094186181600917,0.4986642920747996,28.0,1004.2166666666667,0.09772694368032431,0.017809439002671415,1.0,1.172723324163892,0.21371326803205698,12.0,0.7818155494425945,0.14247551202137132,8.0,53.99902805170722,9.840606490633997,552.5500544490989,69.97249167511221,12.751558325912734,716.0,3.047151179194397,0.6055209260908282,34.0,1.8568119299261618,0.3383793410507569,19.0,0.09772694368032431,0.017809439002671415,1.0,2.419796524654374,0.4808548530721282,27.0,4.006804690893297,0.730186999109528,41.0,2.9318083104097292,0.5342831700801425,30.0,3.4204430288113508,0.6233303650934996,35.0,118.64050962791373,21.6206589492431,1214.0,5615,0.0,0.0,0.0,1.2704502678442162,0.2315227070347284,13.0,91.96105400318518,16.758682101513802,941.0,10.554509917475027,1.9234194122885129,108.0,2.9575290856886793,0.5877114870881568,33.0,1.172723324163892,0.21371326803205698,12.0,16.124945707253513,2.9385574354407837,165.0,1994,2043,3542
Fernandinho,6.626210343135066,0.990990990990991,55.0,7.22859310160189,1.0810810810810811,60.0,1402.3666666666663,7.8309758600687145,1.1711711711711712,65.0,747.0333333333335,0.06417722421620595,0.018018018018018018,1.0,0.8343039148106773,0.23423423423423423,13.0,1.0268355874592952,0.2882882882882883,16.0,88.90053000221874,24.959187171994287,1385.234888045683,78.03950464690644,21.90990990990991,1216.0,4.337155860961134,0.6486486486486486,36.0,1.411898932756531,0.3963963963963964,22.0,0.06417722421620595,0.018018018018018018,1.0,4.457632412654499,0.6666666666666667,37.0,1.219367260107913,0.34234234234234234,19.0,0.0,0.0,0.0,1.0910128116755011,0.3063063063063063,17.0,117.76520643673793,33.06306306306306,1835.0,5550,0.0,0.0,0.0,1.7327850538375609,0.48648648648648646,27.0,102.87609041857814,28.882882882882882,1603.0,13.79810320648428,3.873873873873874,215.0,4.698585516041229,0.7027027027027027,39.0,1.283544484324119,0.36036036036036034,20.0,14.375698224430133,4.036036036036036,224.0,2221,1947,4008
Steven Defour,1.6749379652605465,0.3894080996884735,5.0,0.0,0.0,0.0,186.0333333333334,2.009925558312656,0.46728971962616817,6.0,268.6666666666666,0.0,0.0,0.0,0.4837842680523203,0.0778816199376947,1.0,0.4837842680523203,0.0778816199376947,1.0,40.047561763797304,6.4470244087848405,82.77979340879735,72.56764020784803,11.682242990654206,150.0,0.3349875930521093,0.0778816199376947,1.0,0.9675685361046406,0.1557632398753894,2.0,0.0,0.0,0.0,2.344913151364765,0.5451713395638629,7.0,0.9675685361046406,0.1557632398753894,2.0,0.0,0.0,0.0,0.9675685361046406,0.1557632398753894,2.0,123.84877262139399,19.937694704049843,256.0,1284,0.0,0.0,0.0,0.0,0.0,0.0,98.69199068267332,15.887850467289718,204.0,10.643253897151045,1.7133956386292832,22.0,1.3399503722084372,0.3115264797507788,4.0,0.4837842680523203,0.0778816199376947,1.0,23.221644866511372,3.7383177570093453,48.0,476,410,1104
Kevin McDonald,0.5748350010645092,0.11104941699056081,2.0,4.31126250798382,0.8328706274292059,15.0,297.7333333333333,3.4490100063870557,0.6662965019433648,12.0,313.1333333333333,0.0,0.0,0.0,0.6045678459471564,0.11104941699056081,2.0,0.0,0.0,0.0,42.698529109948474,7.8430349807732265,141.2530600037258,74.66412897447381,13.714602998334257,247.0,2.0119225037257826,0.3886729594669628,7.0,1.2091356918943128,0.22209883398112162,4.0,0.0,0.0,0.0,1.437087502661273,0.27762354247640203,5.0,1.2091356918943128,0.22209883398112162,4.0,0.0,0.0,0.0,0.9068517689207345,0.1665741254858412,3.0,116.98387819077475,21.488062187673513,387.0,1801,0.0,0.0,0.0,1.2091356918943128,0.22209883398112162,4.0,100.35826242722796,18.434203220433094,332.0,7.5570980743394545,1.3881177123820099,25.0,1.7245050031935278,0.3331482509716824,6.0,0.9068517689207345,0.1665741254858412,3.0,16.323331840573225,2.9983342587451416,54.0,632,1122,1190
