playerName,AerialLossPerD90m,AerialLossPerDefense,AerialLossTotal,AerialWonPerD90m,AerialWonPerDefense,AerialWonTotal,AttackTimes,ClearPerD90m,ClearPerDefense,ClearTotal,DefendTimes,DispossessedInD3rdPerA90m,DispossessedInD3rdPerAttack,DispossessedInD3rdTotal,DispossessedPerA90m,DispossessedPerAttack,DispossessedTotal,DribblePerA90m,DribblePerAttack,DribbleTotal,ForwardPassMeterPerA90m,ForwardPassMeterPerAttack,ForwardPassMeterTotal,ForwardPassPerA90m,ForwardPassPerAttack,ForwardPassTotal,FoulPerD90m,FoulPerDefense,FoulTotal,FouledPerA90m,FouledPerAttack,FouledTotal,GoalPerA90m,GoalPerAttack,GoalTotal,InterceptionsPerD90m,InterceptionsPerDefense,InterceptionsTotal,KeyPassPerA90m,KeyPassPerAttack,KeyPassTotal,PassCrossAccuratePerA90m,PassCrossAccuratePerAttack,PassCrossAccurateTotal,PassLeadingKpPerA90m,PassLeadingKpPerAttack,PassLeadingKpTotal,PassPerA90m,PassPerAttack,PassTotal,Rounds,SavePerD90m,SavePerDefense,SaveTotal,ShotPerA90m,ShotPerAttack,ShotTotal,SuccessPassPerA90m,SuccessPassPerAttack,SuccessPassTotal,SuccessfulPassToA3rdPerA90m,SuccessfulPassToA3rdPerAttack,SuccessfulPassToA3rdTotal,TacklesPerD90m,TacklesPerDefense,TacklesTotal,TurnoverPerA90m,TurnoverPerAttack,TurnoverTotal,UnSuccessPassPerA90m,UnSuccessPassPerAttack,UnSuccessPassTotal,minutes,opponent_team_id,season,team_id
Li Xuepeng,2.0215885692893236,0.3876595057341302,24.0,2.8639171398265417,0.5491842997900178,34.0,1335.6833333333332,5.896299993760527,1.130673558391213,70.0,1068.466666666667,0.06738124056350682,0.016152479405588758,1.0,0.8759561273255888,0.20998223227265386,13.0,0.5390499245080546,0.12921983524471006,8.0,35.68057888505078,8.55326810252294,529.5328282271952,54.78094857813105,13.13196575674366,813.0,2.7796842827728203,0.533031820384429,33.0,1.4150060518336434,0.3392020675173639,21.0,0.0,0.0,0.0,1.6004242840207148,0.3068971087061864,19.0,1.954055976341698,0.46842190276207396,29.0,2.4931059008497525,0.597641738006784,37.0,1.6845310140876708,0.40381198513971894,25.0,94.53588051060008,22.661928606041027,1403.0,6191,0.0,0.0,0.0,0.47166868394454775,0.11306735583912131,7.0,59.295491695886014,14.214181876918108,880.0,7.479317702549258,1.7929252140203522,111.0,2.5269857116116548,0.48457438216766274,30.0,1.0780998490161091,0.2584396704894201,16.0,11.117904692978627,2.665159101922145,165.0,2502,156735,52468,121498
Du Wei,2.060184081262817,0.448681996634885,8.0,2.832753111736374,0.616937745372967,11.0,310.4,12.876150507892607,2.8042624789680315,50.0,349.48333333333323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.047969855382945,12.19548192379315,217.44544270123185,50.740979381443296,9.81491867638811,175.0,2.060184081262817,0.448681996634885,8.0,1.1597938144329898,0.2243409983174425,4.0,0.5798969072164949,0.11217049915872125,2.0,2.060184081262817,0.448681996634885,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.36855670103093,12.450925406618058,222.0,1783,0.0,0.0,0.0,1.1597938144329898,0.2243409983174425,4.0,47.261597938144334,9.141895681435782,163.0,2.8994845360824746,0.5608524957936063,10.0,1.2876150507892608,0.28042624789680315,5.0,0.0,0.0,0.0,17.1069587628866,3.3090297251822767,59.0,682,54678,16144,80872
Liu Jian,2.657218777679361,0.5452562704471101,20.0,4.11868910540301,0.8451472191930207,31.0,637.05,9.565987599645702,1.9629225736095965,72.0,677.4000000000002,0.2825523899222981,0.05452562704471102,2.0,0.5651047798445962,0.10905125408942204,4.0,0.2825523899222981,0.05452562704471102,2.0,61.611384605243835,11.889474301093717,436.10591736411754,48.175182481751825,9.296619411123228,341.0,3.0558015943312657,0.6270447110141767,23.0,1.9778667294560868,0.38167938931297707,14.0,0.0,0.0,0.0,1.9929140832595211,0.4089422028353326,15.0,0.42382858488344716,0.08178844056706652,3.0,0.0,0.0,0.0,0.2825523899222981,0.05452562704471102,2.0,54.956439839886976,10.605234460196291,389.0,3668,0.0,0.0,0.0,1.5540381445726394,0.2998909487459106,11.0,40.40499175888863,7.797164667393675,286.0,3.5319048740287267,0.6815703380588877,25.0,0.9300265721877765,0.19083969465648853,7.0,1.2714857546503415,0.24536532170119957,9.0,13.845067106192607,2.6717557251908395,98.0,1364,85207,28252,35518
Dusko Tosic,3.343088698784332,0.7246376811594203,22.0,4.5587573165240896,0.9881422924901186,30.0,611.9166666666669,8.20576316974336,1.7786561264822136,54.0,592.2666666666665,0.0,0.0,0.0,0.4412365518180579,0.09881422924901186,3.0,0.7353942530300965,0.16469038208168643,5.0,113.49408238762156,25.41682059033284,771.654673122505,82.65831404058284,18.511198945981555,562.0,3.1911301215668626,0.691699604743083,21.0,3.088655862726405,0.691699604743083,21.0,0.14707885060601927,0.03293807641633729,1.0,4.40679873930662,0.9552042160737813,29.0,0.8824731036361158,0.1976284584980237,6.0,1.3237096554541736,0.2964426877470355,9.0,0.7353942530300965,0.16469038208168643,5.0,101.92564346997138,22.82608695652174,693.0,3036,0.0,0.0,0.0,1.1766308048481542,0.2635046113306983,8.0,79.42257932725042,17.786561264822133,540.0,5.883154024240772,1.3175230566534915,40.0,3.039171544349393,0.6587615283267457,20.0,1.029551954242135,0.230566534914361,7.0,18.384856325752413,4.117259552042161,125.0,1242,78593,26234,32994
Cao Yang,3.649844338849746,0.7694101189088366,33.0,3.428641651646731,0.7227792026113313,31.0,796.8500000000001,10.396526298541701,2.191653065982747,94.0,813.7333333333333,0.0,0.0,0.0,0.11294471983434773,0.023315458148752622,1.0,0.3388341595030432,0.06994637444625787,3.0,61.57047276583675,12.710145131850734,545.138124705078,53.19696304197778,10.981580788062486,471.0,1.9908241848271342,0.4196782466775472,18.0,1.2423919181778251,0.25647003963627885,11.0,0.0,0.0,0.0,2.433229559233164,0.5129400792725577,22.0,0.22588943966869546,0.046630916297505244,2.0,0.0,0.0,0.0,0.22588943966869546,0.046630916297505244,2.0,64.71732446508125,13.359757519235252,573.0,4289,0.0,0.0,0.0,0.6776683190060864,0.13989274889251574,6.0,49.24389784777561,10.165539752856144,436.0,2.5977285561899977,0.5362555374213103,23.0,1.1060134360150744,0.23315458148752624,10.0,0.4517788793373909,0.09326183259501049,4.0,14.569868858630857,3.0076941011890885,129.0,1658,109477,36324,45576
Yang Shanping,1.7802623091808218,0.39868261397122556,23.0,3.25091378198237,0.7280291211648465,42.0,1065.8000000000004,9.597935927757474,2.1494193101057375,124.0,1162.7499999999998,0.08444361043347717,0.017334026694401112,1.0,0.42221805216738584,0.08667013347200554,5.0,0.25333083130043155,0.05200208008320333,3.0,52.67451278914005,10.812676129247413,623.7832858962832,44.92400075060985,9.22170220142139,532.0,1.39324876370673,0.31201248049922,18.0,0.6755488834678174,0.1386722135552089,8.0,0.0,0.0,0.0,1.5480541818963667,0.34668053388802217,20.0,0.3377744417339087,0.06933610677760445,4.0,0.0,0.0,0.0,0.08444361043347717,0.017334026694401112,1.0,52.01726402702193,10.677760443751083,616.0,5769,0.0,0.0,0.0,0.5911052730343401,0.12133818686080777,7.0,39.604053293300794,8.12965851967412,469.0,3.29330080690561,0.6760270410816432,39.0,1.0836379273274566,0.24267637372161555,14.0,0.3377744417339087,0.06933610677760445,4.0,12.24432351285419,2.5134338706881607,145.0,2315,129073,48432,242640
Yu Yang,4.224323760517347,0.7425742574257426,45.0,6.195674848758776,1.089108910891089,66.0,1145.5166666666664,10.044503163896803,1.7656765676567658,107.0,958.7333333333338,0.07856716765360611,0.0165016501650165,1.0,0.07856716765360611,0.0165016501650165,1.0,0.2357015029608183,0.04950495049504951,3.0,76.25732102808612,16.016507552809518,970.6003577002568,65.60358499076109,13.778877887788779,835.0,2.0652249495862587,0.36303630363036304,22.0,1.492776185418516,0.31353135313531355,19.0,0.07856716765360611,0.0165016501650165,1.0,3.567206731103538,0.6270627062706271,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5671676536061,16.5016501650165,1000.0,6060,0.0,0.0,0.0,0.8642388441896671,0.18151815181518152,11.0,63.16800279349931,13.267326732673268,804.0,4.3997613886019415,0.9240924092409241,56.0,2.3468465336207482,0.4125412541254125,25.0,0.31426867061442443,0.066006600660066,4.0,14.613493183570737,3.0693069306930694,186.0,2166,128593,46414,58420
Felix Bastians,2.6015006804851315,0.580046403712297,40.0,2.9266882655457738,0.6525522041763341,45.0,1359.7666666666669,10.210890170904143,2.2766821345707657,157.0,1383.8166666666666,0.0,0.0,0.0,0.33093913171377437,0.07250580046403712,5.0,0.13237565268550974,0.029002320185614848,2.0,52.983279782561816,11.608162177591112,800.4988637666831,60.297109798249686,13.210556844547563,911.0,0.8454877211576679,0.18851508120649652,13.0,1.3237565268550975,0.2900232018561485,20.0,0.06618782634275487,0.014501160092807424,1.0,2.796613231521517,0.6235498839907192,43.0,0.19856347902826463,0.04350348027842227,3.0,0.13237565268550974,0.029002320185614848,2.0,0.19856347902826463,0.04350348027842227,3.0,74.85843159365577,16.400812064965198,1131.0,6896,0.0,0.0,0.0,0.9266295687985683,0.20301624129930393,14.0,64.99644546858528,14.24013921113689,982.0,4.3683965386218215,0.95707656612529,66.0,0.6503751701212829,0.14501160092807425,10.0,0.6618782634275487,0.14501160092807425,10.0,9.067732208957418,1.9866589327146171,137.0,2828,171607,58522,73428
José Fonte,2.8012261259137,0.625,11.0,3.819853808064136,0.8522727272727272,15.0,289.13333333333344,10.186276821504363,2.272727272727273,40.0,353.41666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.933825224809776,0.17045454545454544,3.0,64.85890738874456,11.838934400041465,208.36524544072978,62.56629006225499,11.420454545454547,201.0,1.5279415232256546,0.3409090909090909,6.0,0.311275074936592,0.056818181818181816,1.0,0.0,0.0,0.0,2.2919122848384816,0.5113636363636364,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.35554530781643,15.397727272727273,271.0,1760,0.0,0.0,0.0,1.867650449619552,0.3409090909090909,6.0,68.16924141111365,12.443181818181818,219.0,5.291676273922064,0.9659090909090908,17.0,1.5279415232256546,0.3409090909090909,6.0,0.933825224809776,0.17045454545454544,3.0,15.5637537468296,2.840909090909091,50.0,660,30500,14126,70770
Gabriel Paletta,2.5152507738077348,0.5369825047635545,31.0,6.328695495387205,1.3511172700502339,78.0,1142.3166666666666,11.846019773417074,2.5290143772735147,146.0,1109.2333333333333,0.07878725980828434,0.017322016282695307,1.0,0.07878725980828434,0.017322016282695307,1.0,0.0,0.0,0.0,82.80934652163243,18.20630457636817,1051.0499631937344,65.70857468010914,14.446561579767886,834.0,2.5963878955434687,0.5543045210462498,32.0,0.945447117699412,0.2078641953923437,12.0,0.07878725980828434,0.017322016282695307,1.0,2.5152507738077348,0.5369825047635545,31.0,0.236361779424853,0.05196604884808592,3.0,0.0,0.0,0.0,0.15757451961656868,0.034644032565390614,2.0,80.12664322502518,17.616490559501127,1017.0,5773,0.0,0.0,0.0,1.1030216373159807,0.2425082279577343,14.0,64.68434030260144,14.221375368092845,821.0,5.357533666963335,1.1778971072232807,68.0,0.9736454608288007,0.2078641953923437,12.0,0.39393629904142174,0.08661008141347654,5.0,15.284728402807161,3.360471158842889,194.0,2323,145149,48432,171000
