match_id,team_id,player_id,player_name,minute,x,y,goalMouthY,goalMouthZ,shot_type,is_big_chance,is_from_corner,is_open_play,is_counter,is_set_piece,is_freekick,is_penalty,is_on_target,is_blocked,is_goal
2017-12-18/Everton-Swansea,31,141469,Dominic Calvert-Lewin,46,89.2,40.2,51.8,12.0,1,0,0,0,0,1,0,0,1,0,1
2017-12-18/Everton-Swansea,31,69346,Gylfi Sigurdsson,57,74.5,61.8,51.8,2.5,1,0,0,1,0,0,0,0,1,0,0
2017-12-18/Everton-Swansea,31,141469,Dominic Calvert-Lewin,59,92.2,56.1,61.3,26.4,2,0,1,0,0,1,0,0,0,0,0
2017-12-18/Everton-Swansea,31,69346,Gylfi Sigurdsson,63,78.9,66.0,45.7,20.9,1,0,0,1,0,0,0,0,1,0,1
2017-12-18/Everton-Swansea,259,34131,Kyle Naughton,65,76.6,25.2,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-18/Everton-Swansea,259,13814,Nathan Dyer,68,75.4,70.9,59.8,5.6,1,0,0,1,0,0,0,0,0,0,0
2017-12-18/Everton-Swansea,31,3859,Wayne Rooney,72,88.5,50.0,52.6,19.0,1,1,0,0,0,0,0,1,1,0,1
2017-12-18/Everton-Swansea,31,141469,Dominic Calvert-Lewin,75,85.3,76.3,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-18/Everton-Swansea,31,141469,Dominic Calvert-Lewin,85,86.6,57.1,47.3,2.5,1,0,0,1,0,0,0,0,1,0,0
2017-12-18/Everton-Swansea,31,299451,Ademola Lookman,91,85.0,32.2,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,18,101859,Pierre-Emile Højbjerg,7,74.8,37.1,35.0,84.7,1,0,1,0,0,1,0,0,0,0,0
2017-12-16/Chelsea-Southampton,18,105172,James Ward-Prowse,8,79.6,39.1,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,29463,Willian,14,91.3,57.7,40.5,1.4,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Chelsea-Southampton,15,135211,Tiemoué Bakayoko,17,75.4,55.3,63.7,22.2,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Chelsea-Southampton,15,84008,Marcos Alonso,20,95.9,72.1,31.6,19.4,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Chelsea-Southampton,15,11981,Gary Cahill,20,71.1,59.2,51.7,6.3,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Chelsea-Southampton,15,114075,N'Golo Kanté,24,77.2,48.5,52.6,27.8,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Chelsea-Southampton,15,84008,Marcos Alonso,32,90.3,71.3,52.9,13.9,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Chelsea-Southampton,15,135211,Tiemoué Bakayoko,39,80.6,48.5,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,44055,Pedro,42,90.6,65.8,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,84008,Marcos Alonso,47,74.8,62.3,54.3,2.5,1,0,0,0,0,1,1,0,1,0,1
2017-12-16/Chelsea-Southampton,15,29463,Willian,48,82.5,29.3,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,29463,Willian,49,81.0,44.3,68.6,65.3,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Chelsea-Southampton,15,29463,Willian,52,76.2,61.2,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,25931,César Azpilicueta,53,76.2,33.4,44.7,83.3,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Chelsea-Southampton,18,82102,Charlie Austin,61,84.4,60.5,47.7,8.2,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Chelsea-Southampton,15,33404,Eden Hazard,66,89.3,35.4,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,84008,Marcos Alonso,70,75.6,47.6,48.3,22.2,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Chelsea-Southampton,15,91213,Álvaro Morata,74,96.4,31.0,47.6,27.8,1,0,0,1,0,0,0,0,1,0,0
