,total_corner,home_corner_ma,home_tt_coner_ma,away_corner_ma,away_total_corner_ma,home_wide_pass,home_cross,away_wide_pass,away_cross
207,11.0,4.2,10.6,3.8,11.4,12.2,16.2,8.6,15.8
208,19.0,4.8,8.6,5.0,9.2,13.2,19.2,13.2,13.8
209,17.0,9.2,12.8,4.4,8.8,27.4,24.8,21.2,19.4
210,7.0,8.0,11.4,5.0,11.6,20.0,27.4,10.0,20.6
211,8.0,10.4,14.6,4.6,10.0,28.6,26.4,12.2,12.0
212,12.0,3.6,10.6,4.2,11.8,13.6,14.2,9.2,15.8
213,10.0,3.2,9.4,4.0,10.6,9.0,18.4,12.6,14.6
214,14.0,6.0,12.6,4.6,8.4,17.0,24.2,17.8,20.2
215,10.0,3.6,9.4,8.6,11.0,15.0,18.2,25.8,32.6
216,15.0,5.6,8.2,6.4,10.0,18.2,20.6,13.4,22.4
217,5.0,4.6,6.8,4.6,10.8,17.8,19.8,10.4,12.0
218,8.0,5.2,11.2,3.4,7.6,21.4,19.4,12.4,15.0
219,9.0,5.0,11.8,4.8,9.6,16.4,17.8,14.2,25.4
220,24.0,7.0,11.6,4.6,11.0,16.4,20.4,8.4,18.8
221,13.0,4.4,10.6,3.8,10.2,12.4,12.4,13.4,17.8
222,18.0,4.8,12.8,4.0,8.8,8.8,17.0,10.6,20.8
223,8.0,3.4,7.2,8.0,13.2,13.2,15.2,18.6,22.6
224,13.0,4.8,13.2,6.6,10.0,6.2,18.4,17.4,21.0
225,18.0,3.6,10.6,9.0,13.6,12.8,14.2,23.6,23.0
226,15.0,4.4,9.8,4.8,12.0,16.6,18.6,12.2,14.8
227,21.0,4.6,10.0,5.0,11.6,14.2,24.6,21.6,18.2
228,9.0,4.8,10.2,4.4,6.4,10.8,12.8,14.6,19.0
229,2.0,4.8,7.4,5.4,11.4,15.0,19.4,19.0,23.0
230,13.0,8.2,11.8,6.8,14.2,18.4,21.6,10.0,20.4
231,15.0,7.0,13.4,4.8,11.4,16.6,29.0,9.8,13.2
232,13.0,8.2,13.6,3.4,12.4,19.0,25.4,11.4,13.6
233,16.0,5.8,11.8,3.4,7.6,11.8,16.0,10.0,12.8
234,8.0,4.6,10.6,5.0,10.8,11.2,20.6,10.4,14.8
235,13.0,5.4,12.6,4.0,12.8,18.0,18.8,8.0,19.8
236,13.0,5.6,12.6,9.2,11.8,25.2,18.8,26.0,33.4
237,7.0,9.8,15.0,6.0,11.6,22.0,25.2,14.4,25.2
238,9.0,4.2,11.0,7.2,11.8,12.8,17.8,13.8,25.4
239,7.0,8.6,11.2,5.8,13.4,23.4,28.0,19.0,19.4
240,16.0,6.4,12.2,8.0,14.6,13.2,23.6,16.2,31.0
241,16.0,5.2,12.4,7.6,12.8,10.0,15.6,16.2,21.8
242,13.0,4.6,10.4,5.0,13.8,10.4,15.2,19.8,15.8
243,17.0,3.8,9.2,5.2,10.4,19.2,22.0,17.8,17.4
244,15.0,3.2,12.4,7.4,13.4,11.2,14.4,11.8,18.4
245,12.0,4.8,13.4,4.8,6.6,7.8,21.0,14.4,17.4
246,9.0,4.4,9.0,4.6,9.8,10.4,16.0,13.2,19.4
247,6.0,7.6,14.8,7.8,14.2,10.8,20.8,16.8,30.8
248,12.0,7.6,13.6,7.6,12.0,11.6,21.6,17.6,21.4
249,7.0,5.0,11.0,8.6,14.2,14.8,23.2,22.2,27.2
250,4.0,7.0,9.0,4.8,10.8,27.4,24.4,11.6,24.8
251,13.0,5.6,11.4,5.0,13.8,10.8,17.4,8.4,21.0
252,13.0,5.2,9.6,4.6,10.6,16.0,20.8,20.4,22.0
253,10.0,5.0,7.0,5.2,13.6,15.2,17.8,12.8,15.0
254,11.0,4.6,11.6,4.4,10.8,8.8,13.2,12.0,18.4
255,15.0,6.4,12.0,6.4,14.2,10.6,18.0,10.8,19.0
256,15.0,5.4,14.4,7.6,12.6,15.4,14.6,17.0,32.0
257,6.0,8.6,12.2,6.4,13.6,24.6,28.6,11.6,14.8
258,12.0,8.4,12.4,6.4,8.2,22.8,26.0,30.6,21.2
259,10.0,6.8,12.6,5.2,11.4,16.2,22.0,17.0,17.6
260,8.0,4.0,9.2,4.0,9.2,10.6,18.0,10.8,16.8
261,4.0,5.8,13.4,4.8,7.6,12.4,20.0,14.0,17.0
262,8.0,5.0,9.8,6.8,13.4,11.2,21.6,15.0,20.6
263,10.0,5.2,12.8,3.8,9.6,10.4,10.8,11.0,17.4
264,9.0,5.4,12.2,5.8,14.0,15.0,19.6,18.4,14.8
265,5.0,5.6,15.0,7.6,11.4,10.4,22.0,20.6,23.6
266,9.0,5.2,13.2,6.4,12.8,11.6,15.2,11.0,19.0
267,8.0,4.6,11.0,6.4,10.8,13.4,17.6,19.8,22.0
268,8.0,5.4,11.2,5.4,12.0,13.6,14.6,10.2,16.4
269,6.0,6.6,9.2,8.4,11.6,30.4,17.8,30.2,26.6
270,7.0,7.0,13.2,6.0,10.2,15.6,28.2,12.6,18.2
271,8.0,4.4,7.4,5.4,11.0,13.2,16.6,12.2,15.2
272,2.0,5.6,12.6,5.8,11.2,9.2,15.4,16.6,21.8
273,11.0,6.2,14.2,5.8,13.0,20.8,15.2,13.0,14.6
274,8.0,7.6,10.8,5.0,9.8,24.4,27.2,11.0,22.2
