,total_corner,home_corner_ma,home_tt_coner_ma,away_corner_ma,away_total_corner_ma,home_wide_pass,home_cross,away_wide_pass,away_cross
0,10.0,5.8,10.4,6.8,10.2,18.6,22.4,18.8,19.8
1,11.0,4.8,9.2,5.4,10.0,18.8,21.4,15.8,20.8
2,17.0,6.6,9.8,9.8,12.6,21.4,30.2,32.4,32.4
3,9.0,8.0,13.8,4.2,9.6,20.2,30.6,15.6,16.4
4,11.0,7.2,13.4,6.0,9.6,17.8,26.4,18.2,24.2
5,9.0,4.8,11.6,5.2,11.2,14.4,18.0,12.6,22.8
6,11.0,5.2,8.6,6.8,9.4,19.0,20.0,20.2,24.2
7,12.0,5.4,9.0,4.2,9.0,19.0,21.2,19.2,20.4
8,16.0,6.0,9.8,4.4,6.6,22.2,22.0,24.2,14.0
9,17.0,6.6,10.2,6.2,9.8,20.8,20.0,16.2,23.2
10,24.0,7.0,11.6,4.6,11.0,16.4,20.4,8.4,18.8
11,13.0,8.2,13.6,3.4,12.4,19.0,25.4,11.4,13.6
12,6.0,8.6,12.2,6.4,13.6,24.6,28.6,11.6,14.8
13,12.0,5.8,8.0,5.0,11.2,27.4,23.0,16.4,19.0
14,17.0,6.4,9.4,1.8,9.4,28.0,23.4,11.6,12.0
15,10.0,10.8,13.8,5.4,10.8,21.4,28.0,14.4,15.0
16,10.0,7.8,9.4,5.4,11.2,21.0,21.4,13.6,21.0
17,3.0,7.4,9.6,3.8,9.6,22.0,21.8,11.4,18.6
18,13.0,4.4,6.4,4.0,10.6,21.8,17.8,15.0,14.6
19,10.0,4.6,7.2,4.6,10.0,18.0,17.2,19.2,19.2
20,11.0,5.4,9.4,3.8,10.8,13.4,20.2,10.8,11.0
21,10.0,5.2,10.2,4.8,12.6,22.0,20.8,10.2,15.6
22,10.0,8.0,11.6,4.4,11.0,27.0,30.8,16.2,15.0
23,12.0,8.0,11.4,4.6,10.0,23.6,29.6,12.4,21.2
24,8.0,7.0,9.2,6.0,10.4,27.6,26.0,14.4,21.6
25,7.0,6.0,8.6,9.6,11.0,32.8,22.8,29.4,21.0
26,9.0,5.8,8.4,2.8,10.4,26.2,20.8,13.8,17.0
27,7.0,6.6,9.0,6.8,9.8,23.4,24.4,23.8,17.4
28,13.0,6.6,8.8,4.4,7.6,20.6,22.0,18.8,18.8
29,7.0,4.2,7.0,4.6,8.4,22.0,20.0,12.2,26.4
30,9.0,5.6,9.2,3.2,9.0,23.2,21.8,11.6,17.4
31,12.0,5.0,8.4,5.0,11.4,17.8,17.6,12.2,15.6
32,15.0,7.6,13.2,6.8,14.2,22.4,19.6,12.0,18.4
33,12.0,9.8,14.8,6.4,13.8,21.0,21.6,14.2,25.2
34,15.0,10.6,15.2,7.4,11.2,22.0,25.4,25.2,25.6
