,position,rating
0,DC,3.810741482205894
1,DC,5.252205759911807
2,DC,6.480767760130931
3,DC,2.662446204929302
4,DC,6.7450560057672275
5,DC,4.34823833257006
6,DC,5.204422988559347
7,DC,3.5844218640487187
8,DC,6.615655745024211
9,DC,6.411791953870022
10,DC,5.043248012042567
11,DC,7.267672453415315
12,DC,4.119951396205477
13,DC,3.227978967696474
14,DC,3.0758784929503755
15,DC,1.3526066899922333
16,DC,3.194897833685039
17,DC,3.2284012424112163
18,DC,6.4388670682369975
19,DC,4.227614824120538
20,DC,4.157965943199062
21,DC,6.662148573546162
22,DC,5.663677659104753
23,DC,4.199056065497087
24,DC,2.4579514728725513
25,DC,6.948112108099631
26,DC,1.9455448118475822
27,DC,1.4389422879652758
28,DC,4.961969699105991
29,DC,5.495770533923411
30,DC,1.9459905366669357
31,DC,5.68993356881756
32,DC,4.034866059788184
33,DC,4.472750212390126
34,DC,4.562418818822307
35,DC,3.8944979414046315
36,DC,3.801490026398844
37,DC,-2.0312438522394656
38,DC,4.147819647156481
39,DC,3.7155936978378947
40,DC,5.263102606666315
41,DC,6.624295445624506
42,DC,7.095194130538329
43,DC,3.4644765625259857
44,DC,4.263645731739441
45,DC,6.701782596354732
46,DC,5.1527328745741405
47,DC,4.784418011452047
48,DC,7.218042325072659
49,DC,3.973835675224726
50,DC,-2.094485837501375
51,DC,5.95528468258715
52,DC,3.8990647887017396
53,DC,5.251777314450153
54,DC,4.6573667752353645
55,DC,7.11470270332975
56,DC,3.0921075809841634
57,DC,6.602574957870178
58,DC,6.133136438834249
59,DC,3.8623987104530677
60,DC,4.730966403570246
61,DC,1.7631404260477552
62,DC,5.103875633781736
63,DC,3.0819344365065637
64,DC,6.07825464992283
65,DC,4.6169000763337396
66,DC,5.414798332730421
67,DC,6.4348002550220755
68,DC,6.887911827558261
69,DC,7.779504404809458
70,DC,7.107741569489226
71,DC,5.489935952046991
72,DC,6.348160865281029
73,DC,3.912207691659637
74,DC,9.150021911815609
75,DC,7.105691185649365
76,DC,6.28304895320859
77,DC,-1.6051763452089354
78,DC,6.531041628967245
79,DC,3.7032370154690035
80,DC,5.85828075637866
81,DC,7.094400617324759
82,DC,4.213031299415548
83,DC,-4.684961646013534
84,DC,4.62631219674287
85,DC,4.490913747890943
86,DC,6.560083684063092
87,DC,6.539511093262911
88,DC,4.336424199825368
89,DC,3.4762490389204976
90,DC,2.4001461790033796
91,DC,4.084319384533505
92,DC,6.557967966505966
93,DC,5.424044592748939
94,DC,5.800069690452511
95,DC,6.396660444418797
96,DC,5.856811993535378
97,DC,3.637480138049102
98,DC,6.510027538582861
99,DC,7.148752225835343
100,DC,5.479260296114889
101,DC,3.7610259762369864
102,DC,5.92851884687343
103,DC,1.521578524154775
104,DC,5.726361864308619
105,DC,5.853560401950922
106,DC,4.583204901946037
107,DC,4.76612565929479
108,DC,4.994749583905285
109,DC,-0.21994354916681588
110,DC,4.891712904495341
111,DC,2.637335390642474
112,DC,0.7678110955289437
